Pivot1 Names,RegionName,SizeRank,RegionID,Pivot1 Values
2008-06,California,1,9,27333
2008-06,Texas,2,54,24729
2008-06,New York,3,43,
2008-06,Florida,4,14,17574
2008-06,Illinois,5,21,12584
2008-06,Pennsylvania,6,47,11156
2008-06,Ohio,7,44,11796
2008-06,Michigan,8,30,11790
2008-06,Georgia,9,16,12208
2008-06,North Carolina,10,36,9448
2008-06,New Jersey,11,40,7179
2008-06,Virginia,12,56,6805
2008-06,Washington,13,59,5730
2008-06,Massachusetts,14,26,5016
2008-06,Indiana,15,22,6031
2008-06,Arizona,16,8,7370
2008-06,Tennessee,17,53,8316
2008-06,Missouri,18,32,5653
2008-06,Maryland,19,27,5456
2008-06,Wisconsin,20,60,4706
2008-06,Minnesota,21,31,4494
2008-06,Colorado,22,10,7118
2008-06,Alabama,23,4,3237
2008-06,South Carolina,24,51,5914
2008-06,Louisiana,25,25,3348
2008-06,Kentucky,26,24,3042
2008-06,Oregon,27,46,3337
2008-06,Oklahoma,28,45,3230
2008-06,Connecticut,29,11,2508
2008-06,Iowa,30,19,2549
2008-06,Mississippi,31,34,1127
2008-06,Arkansas,32,6,2515
2008-06,Kansas,33,23,1768
2008-06,Utah,34,55,3069
2008-06,Nevada,35,42,3291
2008-06,New Mexico,36,41,1442
2008-06,West Virginia,37,61,940
2008-06,Nebraska,38,38,1144
2008-06,Idaho,39,20,1245
2008-06,Hawaii,40,18,1050
2008-06,Maine,41,28,
2008-06,New Hampshire,42,39,
2008-06,Rhode Island,43,50,
2008-06,Montana,44,35,638
2008-06,Delaware,45,13,664
2008-06,South Dakota,46,52,
2008-06,Alaska,47,3,648
2008-06,North Dakota,48,37,539
2008-06,Vermont,49,58,295
2008-06,District of Columbia,50,12,385
2008-06,Wyoming,51,62,380
2008-07,California,1,9,29289
2008-07,Texas,2,54,24515
2008-07,New York,3,43,
2008-07,Florida,4,14,17988
2008-07,Illinois,5,21,12654
2008-07,Pennsylvania,6,47,11088
2008-07,Ohio,7,44,11632
2008-07,Michigan,8,30,11332
2008-07,Georgia,9,16,12269
2008-07,North Carolina,10,36,9345
2008-07,New Jersey,11,40,7157
2008-07,Virginia,12,56,6816
2008-07,Washington,13,59,5496
2008-07,Massachusetts,14,26,4803
2008-07,Indiana,15,22,6252
2008-07,Arizona,16,8,7790
2008-07,Tennessee,17,53,8205
2008-07,Missouri,18,32,5646
2008-07,Maryland,19,27,5020
2008-07,Wisconsin,20,60,4703
2008-07,Minnesota,21,31,4406
2008-07,Colorado,22,10,7090
2008-07,Alabama,23,4,3182
2008-07,South Carolina,24,51,5750
2008-07,Louisiana,25,25,3350
2008-07,Kentucky,26,24,3085
2008-07,Oregon,27,46,3303
2008-07,Oklahoma,28,45,3302
2008-07,Connecticut,29,11,2464
2008-07,Iowa,30,19,2548
2008-07,Mississippi,31,34,1087
2008-07,Arkansas,32,6,2510
2008-07,Kansas,33,23,1645
2008-07,Utah,34,55,3012
2008-07,Nevada,35,42,3467
2008-07,New Mexico,36,41,1445
2008-07,West Virginia,37,61,978
2008-07,Nebraska,38,38,1082
2008-07,Idaho,39,20,1194
2008-07,Hawaii,40,18,968
2008-07,Maine,41,28,
2008-07,New Hampshire,42,39,
2008-07,Rhode Island,43,50,
2008-07,Montana,44,35,625
2008-07,Delaware,45,13,630
2008-07,South Dakota,46,52,
2008-07,Alaska,47,3,647
2008-07,North Dakota,48,37,557
2008-07,Vermont,49,58,252
2008-07,District of Columbia,50,12,399
2008-07,Wyoming,51,62,387
2008-08,California,1,9,30483
2008-08,Texas,2,54,24080
2008-08,New York,3,43,
2008-08,Florida,4,14,17682
2008-08,Illinois,5,21,12416
2008-08,Pennsylvania,6,47,10922
2008-08,Ohio,7,44,11271
2008-08,Michigan,8,30,10882
2008-08,Georgia,9,16,12169
2008-08,North Carolina,10,36,9084
2008-08,New Jersey,11,40,7103
2008-08,Virginia,12,56,6956
2008-08,Washington,13,59,5281
2008-08,Massachusetts,14,26,4678
2008-08,Indiana,15,22,6426
2008-08,Arizona,16,8,7845
2008-08,Tennessee,17,53,8013
2008-08,Missouri,18,32,5526
2008-08,Maryland,19,27,4762
2008-08,Wisconsin,20,60,4693
2008-08,Minnesota,21,31,4367
2008-08,Colorado,22,10,6992
2008-08,Alabama,23,4,3189
2008-08,South Carolina,24,51,5667
2008-08,Louisiana,25,25,3052
2008-08,Kentucky,26,24,3056
2008-08,Oregon,27,46,3211
2008-08,Oklahoma,28,45,3289
2008-08,Connecticut,29,11,2374
2008-08,Iowa,30,19,2573
2008-08,Mississippi,31,34,1057
2008-08,Arkansas,32,6,2500
2008-08,Kansas,33,23,1682
2008-08,Utah,34,55,2925
2008-08,Nevada,35,42,3568
2008-08,New Mexico,36,41,1438
2008-08,West Virginia,37,61,956
2008-08,Nebraska,38,38,1056
2008-08,Idaho,39,20,1177
2008-08,Hawaii,40,18,883
2008-08,Maine,41,28,
2008-08,New Hampshire,42,39,
2008-08,Rhode Island,43,50,
2008-08,Montana,44,35,619
2008-08,Delaware,45,13,598
2008-08,South Dakota,46,52,
2008-08,Alaska,47,3,664
2008-08,North Dakota,48,37,562
2008-08,Vermont,49,58,254
2008-08,District of Columbia,50,12,428
2008-08,Wyoming,51,62,391
2008-09,California,1,9,32971
2008-09,Texas,2,54,23104
2008-09,New York,3,43,
2008-09,Florida,4,14,17897
2008-09,Illinois,5,21,12544
2008-09,Pennsylvania,6,47,10845
2008-09,Ohio,7,44,11225
2008-09,Michigan,8,30,10956
2008-09,Georgia,9,16,12447
2008-09,North Carolina,10,36,8864
2008-09,New Jersey,11,40,6902
2008-09,Virginia,12,56,7103
2008-09,Washington,13,59,5259
2008-09,Massachusetts,14,26,4627
2008-09,Indiana,15,22,6664
2008-09,Arizona,16,8,8268
2008-09,Tennessee,17,53,7840
2008-09,Missouri,18,32,5605
2008-09,Maryland,19,27,4702
2008-09,Wisconsin,20,60,4758
2008-09,Minnesota,21,31,4627
2008-09,Colorado,22,10,6967
2008-09,Alabama,23,4,3217
2008-09,South Carolina,24,51,5653
2008-09,Louisiana,25,25,2682
2008-09,Kentucky,26,24,3150
2008-09,Oregon,27,46,3203
2008-09,Oklahoma,28,45,3435
2008-09,Connecticut,29,11,2301
2008-09,Iowa,30,19,2659
2008-09,Mississippi,31,34,1044
2008-09,Arkansas,32,6,2479
2008-09,Kansas,33,23,1799
2008-09,Utah,34,55,3071
2008-09,Nevada,35,42,3866
2008-09,New Mexico,36,41,1414
2008-09,West Virginia,37,61,973
2008-09,Nebraska,38,38,1083
2008-09,Idaho,39,20,1175
2008-09,Hawaii,40,18,856
2008-09,Maine,41,28,
2008-09,New Hampshire,42,39,
2008-09,Rhode Island,43,50,
2008-09,Montana,44,35,596
2008-09,Delaware,45,13,612
2008-09,South Dakota,46,52,
2008-09,Alaska,47,3,674
2008-09,North Dakota,48,37,542
2008-09,Vermont,49,58,281
2008-09,District of Columbia,50,12,438
2008-09,Wyoming,51,62,382
2008-10,California,1,9,34623
2008-10,Texas,2,54,22373
2008-10,New York,3,43,
2008-10,Florida,4,14,17818
2008-10,Illinois,5,21,12154
2008-10,Pennsylvania,6,47,10399
2008-10,Ohio,7,44,11163
2008-10,Michigan,8,30,10925
2008-10,Georgia,9,16,12618
2008-10,North Carolina,10,36,8459
2008-10,New Jersey,11,40,6373
2008-10,Virginia,12,56,7119
2008-10,Washington,13,59,5146
2008-10,Massachusetts,14,26,4607
2008-10,Indiana,15,22,6747
2008-10,Arizona,16,8,8408
2008-10,Tennessee,17,53,7506
2008-10,Missouri,18,32,5524
2008-10,Maryland,19,27,5031
2008-10,Wisconsin,20,60,4688
2008-10,Minnesota,21,31,4774
2008-10,Colorado,22,10,7034
2008-10,Alabama,23,4,3196
2008-10,South Carolina,24,51,5483
2008-10,Louisiana,25,25,2512
2008-10,Kentucky,26,24,3140
2008-10,Oregon,27,46,3104
2008-10,Oklahoma,28,45,3463
2008-10,Connecticut,29,11,2261
2008-10,Iowa,30,19,2655
2008-10,Mississippi,31,34,1036
2008-10,Arkansas,32,6,2429
2008-10,Kansas,33,23,1833
2008-10,Utah,34,55,2922
2008-10,Nevada,35,42,4055
2008-10,New Mexico,36,41,1355
2008-10,West Virginia,37,61,943
2008-10,Nebraska,38,38,1110
2008-10,Idaho,39,20,1165
2008-10,Hawaii,40,18,823
2008-10,Maine,41,28,
2008-10,New Hampshire,42,39,
2008-10,Rhode Island,43,50,
2008-10,Montana,44,35,583
2008-10,Delaware,45,13,602
2008-10,South Dakota,46,52,
2008-10,Alaska,47,3,668
2008-10,North Dakota,48,37,517
2008-10,Vermont,49,58,304
2008-10,District of Columbia,50,12,422
2008-10,Wyoming,51,62,353
2008-11,California,1,9,34846
2008-11,Texas,2,54,21371
2008-11,New York,3,43,
2008-11,Florida,4,14,17780
2008-11,Illinois,5,21,11704
2008-11,Pennsylvania,6,47,10019
2008-11,Ohio,7,44,10841
2008-11,Michigan,8,30,10077
2008-11,Georgia,9,16,12443
2008-11,North Carolina,10,36,7764
2008-11,New Jersey,11,40,5981
2008-11,Virginia,12,56,6885
2008-11,Washington,13,59,4752
2008-11,Massachusetts,14,26,4490
2008-11,Indiana,15,22,6695
2008-11,Arizona,16,8,8387
2008-11,Tennessee,17,53,6968
2008-11,Missouri,18,32,5305
2008-11,Maryland,19,27,5061
2008-11,Wisconsin,20,60,4432
2008-11,Minnesota,21,31,4733
2008-11,Colorado,22,10,6855
2008-11,Alabama,23,4,3006
2008-11,South Carolina,24,51,5095
2008-11,Louisiana,25,25,2328
2008-11,Kentucky,26,24,2957
2008-11,Oregon,27,46,2977
2008-11,Oklahoma,28,45,3459
2008-11,Connecticut,29,11,2209
2008-11,Iowa,30,19,2524
2008-11,Mississippi,31,34,1006
2008-11,Arkansas,32,6,2278
2008-11,Kansas,33,23,1732
2008-11,Utah,34,55,2821
2008-11,Nevada,35,42,4099
2008-11,New Mexico,36,41,1285
2008-11,West Virginia,37,61,929
2008-11,Nebraska,38,38,1048
2008-11,Idaho,39,20,1111
2008-11,Hawaii,40,18,794
2008-11,Maine,41,28,
2008-11,New Hampshire,42,39,
2008-11,Rhode Island,43,50,
2008-11,Montana,44,35,522
2008-11,Delaware,45,13,578
2008-11,South Dakota,46,52,
2008-11,Alaska,47,3,623
2008-11,North Dakota,48,37,483
2008-11,Vermont,49,58,305
2008-11,District of Columbia,50,12,385
2008-11,Wyoming,51,62,312
2008-12,California,1,9,35414
2008-12,Texas,2,54,21235
2008-12,New York,3,43,
2008-12,Florida,4,14,17677
2008-12,Illinois,5,21,11138
2008-12,Pennsylvania,6,47,9464
2008-12,Ohio,7,44,10665
2008-12,Michigan,8,30,10221
2008-12,Georgia,9,16,12131
2008-12,North Carolina,10,36,7371
2008-12,New Jersey,11,40,5653
2008-12,Virginia,12,56,6577
2008-12,Washington,13,59,4354
2008-12,Massachusetts,14,26,4371
2008-12,Indiana,15,22,6642
2008-12,Arizona,16,8,8370
2008-12,Tennessee,17,53,6518
2008-12,Missouri,18,32,5135
2008-12,Maryland,19,27,4912
2008-12,Wisconsin,20,60,4109
2008-12,Minnesota,21,31,4587
2008-12,Colorado,22,10,6506
2008-12,Alabama,23,4,2887
2008-12,South Carolina,24,51,4916
2008-12,Louisiana,25,25,2390
2008-12,Kentucky,26,24,2862
2008-12,Oregon,27,46,2751
2008-12,Oklahoma,28,45,3387
2008-12,Connecticut,29,11,2047
2008-12,Iowa,30,19,2382
2008-12,Mississippi,31,34,1051
2008-12,Arkansas,32,6,2202
2008-12,Kansas,33,23,1639
2008-12,Utah,34,55,2642
2008-12,Nevada,35,42,4149
2008-12,New Mexico,36,41,1232
2008-12,West Virginia,37,61,881
2008-12,Nebraska,38,38,997
2008-12,Idaho,39,20,1059
2008-12,Hawaii,40,18,767
2008-12,Maine,41,28,
2008-12,New Hampshire,42,39,
2008-12,Rhode Island,43,50,
2008-12,Montana,44,35,497
2008-12,Delaware,45,13,540
2008-12,South Dakota,46,52,
2008-12,Alaska,47,3,584
2008-12,North Dakota,48,37,454
2008-12,Vermont,49,58,275
2008-12,District of Columbia,50,12,349
2008-12,Wyoming,51,62,285
2009-01,California,1,9,36533
2009-01,Texas,2,54,21039
2009-01,New York,3,43,
2009-01,Florida,4,14,18316
2009-01,Illinois,5,21,10630
2009-01,Pennsylvania,6,47,8970
2009-01,Ohio,7,44,10265
2009-01,Michigan,8,30,10375
2009-01,Georgia,9,16,10802
2009-01,North Carolina,10,36,7129
2009-01,New Jersey,11,40,5278
2009-01,Virginia,12,56,6626
2009-01,Washington,13,59,4378
2009-01,Massachusetts,14,26,4169
2009-01,Indiana,15,22,6423
2009-01,Arizona,16,8,8370
2009-01,Tennessee,17,53,6533
2009-01,Missouri,18,32,4811
2009-01,Maryland,19,27,4146
2009-01,Wisconsin,20,60,3952
2009-01,Minnesota,21,31,4393
2009-01,Colorado,22,10,6320
2009-01,Alabama,23,4,2765
2009-01,South Carolina,24,51,4663
2009-01,Louisiana,25,25,2376
2009-01,Kentucky,26,24,2644
2009-01,Oregon,27,46,2616
2009-01,Oklahoma,28,45,3015
2009-01,Connecticut,29,11,1884
2009-01,Iowa,30,19,2216
2009-01,Mississippi,31,34,998
2009-01,Arkansas,32,6,2104
2009-01,Kansas,33,23,1585
2009-01,Utah,34,55,2609
2009-01,Nevada,35,42,4258
2009-01,New Mexico,36,41,1149
2009-01,West Virginia,37,61,824
2009-01,Nebraska,38,38,954
2009-01,Idaho,39,20,1156
2009-01,Hawaii,40,18,691
2009-01,Maine,41,28,
2009-01,New Hampshire,42,39,
2009-01,Rhode Island,43,50,
2009-01,Montana,44,35,483
2009-01,Delaware,45,13,497
2009-01,South Dakota,46,52,
2009-01,Alaska,47,3,565
2009-01,North Dakota,48,37,438
2009-01,Vermont,49,58,251
2009-01,District of Columbia,50,12,343
2009-01,Wyoming,51,62,290
2009-02,California,1,9,39350
2009-02,Texas,2,54,22246
2009-02,New York,3,43,
2009-02,Florida,4,14,19578
2009-02,Illinois,5,21,11273
2009-02,Pennsylvania,6,47,9111
2009-02,Ohio,7,44,11061
2009-02,Michigan,8,30,12226
2009-02,Georgia,9,16,10316
2009-02,North Carolina,10,36,7698
2009-02,New Jersey,11,40,5169
2009-02,Virginia,12,56,7119
2009-02,Washington,13,59,4830
2009-02,Massachusetts,14,26,4973
2009-02,Indiana,15,22,6980
2009-02,Arizona,16,8,8833
2009-02,Tennessee,17,53,7157
2009-02,Missouri,18,32,5108
2009-02,Maryland,19,27,4188
2009-02,Wisconsin,20,60,4413
2009-02,Minnesota,21,31,4873
2009-02,Colorado,22,10,6787
2009-02,Alabama,23,4,2802
2009-02,South Carolina,24,51,4816
2009-02,Louisiana,25,25,2583
2009-02,Kentucky,26,24,2940
2009-02,Oregon,27,46,2739
2009-02,Oklahoma,28,45,3076
2009-02,Connecticut,29,11,1923
2009-02,Iowa,30,19,2395
2009-02,Mississippi,31,34,1045
2009-02,Arkansas,32,6,2284
2009-02,Kansas,33,23,1689
2009-02,Utah,34,55,2757
2009-02,Nevada,35,42,4542
2009-02,New Mexico,36,41,1172
2009-02,West Virginia,37,61,835
2009-02,Nebraska,38,38,1106
2009-02,Idaho,39,20,1292
2009-02,Hawaii,40,18,710
2009-02,Maine,41,28,
2009-02,New Hampshire,42,39,
2009-02,Rhode Island,43,50,
2009-02,Montana,44,35,591
2009-02,Delaware,45,13,511
2009-02,South Dakota,46,52,
2009-02,Alaska,47,3,626
2009-02,North Dakota,48,37,505
2009-02,Vermont,49,58,243
2009-02,District of Columbia,50,12,341
2009-02,Wyoming,51,62,301
2009-03,California,1,9,38909
2009-03,Texas,2,54,22643
2009-03,New York,3,43,
2009-03,Florida,4,14,20311
2009-03,Illinois,5,21,11602
2009-03,Pennsylvania,6,47,9184
2009-03,Ohio,7,44,10957
2009-03,Michigan,8,30,12859
2009-03,Georgia,9,16,10027
2009-03,North Carolina,10,36,7736
2009-03,New Jersey,11,40,5219
2009-03,Virginia,12,56,7194
2009-03,Washington,13,59,4983
2009-03,Massachusetts,14,26,5365
2009-03,Indiana,15,22,6728
2009-03,Arizona,16,8,9191
2009-03,Tennessee,17,53,7333
2009-03,Missouri,18,32,5125
2009-03,Maryland,19,27,4457
2009-03,Wisconsin,20,60,4555
2009-03,Minnesota,21,31,4879
2009-03,Colorado,22,10,6835
2009-03,Alabama,23,4,2748
2009-03,South Carolina,24,51,4677
2009-03,Louisiana,25,25,2602
2009-03,Kentucky,26,24,2951
2009-03,Oregon,27,46,2880
2009-03,Oklahoma,28,45,2925
2009-03,Connecticut,29,11,1991
2009-03,Iowa,30,19,2436
2009-03,Mississippi,31,34,1083
2009-03,Arkansas,32,6,2299
2009-03,Kansas,33,23,1776
2009-03,Utah,34,55,2816
2009-03,Nevada,35,42,4701
2009-03,New Mexico,36,41,1189
2009-03,West Virginia,37,61,847
2009-03,Nebraska,38,38,1139
2009-03,Idaho,39,20,1352
2009-03,Hawaii,40,18,700
2009-03,Maine,41,28,
2009-03,New Hampshire,42,39,
2009-03,Rhode Island,43,50,
2009-03,Montana,44,35,630
2009-03,Delaware,45,13,514
2009-03,South Dakota,46,52,
2009-03,Alaska,47,3,625
2009-03,North Dakota,48,37,532
2009-03,Vermont,49,58,261
2009-03,District of Columbia,50,12,357
2009-03,Wyoming,51,62,315
2009-04,California,1,9,36850
2009-04,Texas,2,54,22177
2009-04,New York,3,43,
2009-04,Florida,4,14,20048
2009-04,Illinois,5,21,11772
2009-04,Pennsylvania,6,47,9377
2009-04,Ohio,7,44,10947
2009-04,Michigan,8,30,13428
2009-04,Georgia,9,16,9993
2009-04,North Carolina,10,36,7635
2009-04,New Jersey,11,40,5394
2009-04,Virginia,12,56,6838
2009-04,Washington,13,59,4786
2009-04,Massachusetts,14,26,5463
2009-04,Indiana,15,22,6559
2009-04,Arizona,16,8,9670
2009-04,Tennessee,17,53,7188
2009-04,Missouri,18,32,5226
2009-04,Maryland,19,27,5006
2009-04,Wisconsin,20,60,4441
2009-04,Minnesota,21,31,4940
2009-04,Colorado,22,10,6347
2009-04,Alabama,23,4,2699
2009-04,South Carolina,24,51,4566
2009-04,Louisiana,25,25,2575
2009-04,Kentucky,26,24,3032
2009-04,Oregon,27,46,2945
2009-04,Oklahoma,28,45,3048
2009-04,Connecticut,29,11,2009
2009-04,Iowa,30,19,2484
2009-04,Mississippi,31,34,1149
2009-04,Arkansas,32,6,2349
2009-04,Kansas,33,23,1783
2009-04,Utah,34,55,2843
2009-04,Nevada,35,42,4759
2009-04,New Mexico,36,41,1235
2009-04,West Virginia,37,61,861
2009-04,Nebraska,38,38,1181
2009-04,Idaho,39,20,1306
2009-04,Hawaii,40,18,717
2009-04,Maine,41,28,
2009-04,New Hampshire,42,39,
2009-04,Rhode Island,43,50,
2009-04,Montana,44,35,623
2009-04,Delaware,45,13,538
2009-04,South Dakota,46,52,
2009-04,Alaska,47,3,607
2009-04,North Dakota,48,37,531
2009-04,Vermont,49,58,277
2009-04,District of Columbia,50,12,364
2009-04,Wyoming,51,62,298
2009-05,California,1,9,34270
2009-05,Texas,2,54,20955
2009-05,New York,3,43,
2009-05,Florida,4,14,20011
2009-05,Illinois,5,21,11089
2009-05,Pennsylvania,6,47,9012
2009-05,Ohio,7,44,10037
2009-05,Michigan,8,30,12897
2009-05,Georgia,9,16,9764
2009-05,North Carolina,10,36,7180
2009-05,New Jersey,11,40,5309
2009-05,Virginia,12,56,6251
2009-05,Washington,13,59,4519
2009-05,Massachusetts,14,26,4593
2009-05,Indiana,15,22,5819
2009-05,Arizona,16,8,10051
2009-05,Tennessee,17,53,6665
2009-05,Missouri,18,32,4867
2009-05,Maryland,19,27,4885
2009-05,Wisconsin,20,60,3998
2009-05,Minnesota,21,31,4382
2009-05,Colorado,22,10,5563
2009-05,Alabama,23,4,2515
2009-05,South Carolina,24,51,4386
2009-05,Louisiana,25,25,2391
2009-05,Kentucky,26,24,2818
2009-05,Oregon,27,46,2833
2009-05,Oklahoma,28,45,2869
2009-05,Connecticut,29,11,1900
2009-05,Iowa,30,19,2276
2009-05,Mississippi,31,34,1144
2009-05,Arkansas,32,6,2185
2009-05,Kansas,33,23,1678
2009-05,Utah,34,55,2743
2009-05,Nevada,35,42,4755
2009-05,New Mexico,36,41,1175
2009-05,West Virginia,37,61,844
2009-05,Nebraska,38,38,1194
2009-05,Idaho,39,20,1225
2009-05,Hawaii,40,18,688
2009-05,Maine,41,28,
2009-05,New Hampshire,42,39,
2009-05,Rhode Island,43,50,
2009-05,Montana,44,35,554
2009-05,Delaware,45,13,526
2009-05,South Dakota,46,52,
2009-05,Alaska,47,3,538
2009-05,North Dakota,48,37,457
2009-05,Vermont,49,58,269
2009-05,District of Columbia,50,12,368
2009-05,Wyoming,51,62,306
2009-06,California,1,9,34085
2009-06,Texas,2,54,21062
2009-06,New York,3,43,
2009-06,Florida,4,14,20686
2009-06,Illinois,5,21,10910
2009-06,Pennsylvania,6,47,9202
2009-06,Ohio,7,44,9956
2009-06,Michigan,8,30,12166
2009-06,Georgia,9,16,9655
2009-06,North Carolina,10,36,7333
2009-06,New Jersey,11,40,5269
2009-06,Virginia,12,56,6416
2009-06,Washington,13,59,4772
2009-06,Massachusetts,14,26,4178
2009-06,Indiana,15,22,6006
2009-06,Arizona,16,8,10635
2009-06,Tennessee,17,53,6729
2009-06,Missouri,18,32,4896
2009-06,Maryland,19,27,4597
2009-06,Wisconsin,20,60,4028
2009-06,Minnesota,21,31,4220
2009-06,Colorado,22,10,5610
2009-06,Alabama,23,4,2458
2009-06,South Carolina,24,51,4435
2009-06,Louisiana,25,25,2499
2009-06,Kentucky,26,24,2940
2009-06,Oregon,27,46,2948
2009-06,Oklahoma,28,45,2930
2009-06,Connecticut,29,11,1957
2009-06,Iowa,30,19,2329
2009-06,Mississippi,31,34,1174
2009-06,Arkansas,32,6,2239
2009-06,Kansas,33,23,1724
2009-06,Utah,34,55,2824
2009-06,Nevada,35,42,4891
2009-06,New Mexico,36,41,1192
2009-06,West Virginia,37,61,828
2009-06,Nebraska,38,38,1382
2009-06,Idaho,39,20,1250
2009-06,Hawaii,40,18,720
2009-06,Maine,41,28,
2009-06,New Hampshire,42,39,
2009-06,Rhode Island,43,50,
2009-06,Montana,44,35,558
2009-06,Delaware,45,13,531
2009-06,South Dakota,46,52,
2009-06,Alaska,47,3,542
2009-06,North Dakota,48,37,431
2009-06,Vermont,49,58,278
2009-06,District of Columbia,50,12,397
2009-06,Wyoming,51,62,321
2009-07,California,1,9,34997
