"RegionID","RegionName","RegionType","StateName","SizeRank","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8"
40,"New Jersey","State","NJ",11,2.83,2.74,2.64,2.45,1.98,1.6,0.94,0.47,0.38,0.75,0.85,0.66,0.28,0.09,0.19,0.57,1.04,1.13,1.51,1.42,1.23,1.32,1.7,1.79,2.36,2.26,2.08,1.89,2.17,2.55,2.92,3.02,3.3,3.49,3.68,4.34,5.57,6.7,7.08,7.36,7.17,6.51,4.91,4.53,4.81,5.85,5.75,5.47,5,5.09,5.66,5.19,5.28,5.38,4.62,4.43,3.87,4.06,4.25,3.96,3.58,3.11,3.21,3.4,3.77,4.15,4.72,5.94,6.13,6.23,6.04,6.32,6.42,6.89,6.6,6.79,6.98,7.26,7.45,7.74,7.83,7.55,7.64,7.92,8.02,8.11,8.21,8.3,8.58,8.96,9.81,9.91,9.72,8.87,8.68,8.4,8.49,8.77,9.15,9.62,9.43,9.53,9.06,9.25,9.34,10
56,"Virginia","State","VA",12,1.42,1.51,1.32,1.23,0.94,0.38,0.19,0.09,0.28,0.57,0.85,1.04,0.66,0.47,0.75,1.13,1.6,1.7,1.98,2.17,2.64,2.45,2.83,3.68,4.25,4.72,5,5.28,5.47,5.94,6.23,6.51,6.6,6.7,6.79,6.98,7.26,7.36,7.17,6.89,6.32,6.13,6.04,5.66,5.19,4.81,4.43,4.06,3.87,3.49,3.3,3.4,3.11,2.74,2.26,3.21,3.77,4.34,4.15,3.96,3.58,2.92,3.02,2.36,2.08,1.79,1.89,2.55,4.53,4.62,4.91,5.09,5.38,5.57,5.75,5.85,6.42,7.08,7.74,7.64,7.45,7.55,7.83,7.92,8.02,8.11,8.21,8.3,8.4,9.15,9.53,9.43,8.58,8.49,8.68,9.06,8.77,8.87,8.96,9.25,9.34,9.62,9.72,9.81,9.91,10
59,"Washington","State","WA",13,0.09,0.19,0.28,0.47,0.75,0.66,0.57,0.38,0.85,0.94,1.04,1.13,1.23,1.32,1.42,1.51,1.79,1.7,1.6,1.89,1.98,2.08,2.17,2.26,2.36,2.45,2.55,2.64,2.74,3.21,4.06,4.62,4.25,4.15,4.43,4.72,4.91,4.81,4.34,3.87,3.11,2.92,2.83,3.02,3.3,3.68,3.77,3.49,3.4,3.58,3.96,4.53,5,5.09,5.19,5.28,5.38,5.47,5.57,5.66,5.75,5.85,6.04,5.94,6.6,7.17,7.45,7.08,6.32,6.13,6.23,6.98,6.79,6.51,6.42,7.26,7.64,8.21,8.49,8.68,8.77,8.96,9.06,9.25,9.34,9.43,9.62,9.72,9.91,10,9.81,9.53,9.15,8.87,8.58,8.4,8.3,8.11,7.92,7.83,7.36,6.89,6.7,7.55,7.74,8.02
26,"Massachusetts","State","MA",14,1.42,1.51,1.6,1.79,1.7,1.23,0.57,0.47,0.75,1.04,0.94,0.66,0.28,0.09,0.19,0.38,0.85,1.13,1.32,1.89,1.98,2.08,2.17,2.26,2.36,2.45,2.55,2.64,2.74,2.83,2.92,3.21,3.02,3.11,3.3,3.4,3.87,4.62,5.28,5.19,5.57,5.85,6.04,5.38,3.77,3.49,3.58,3.68,3.96,4.25,4.43,4.81,5.09,4.34,4.06,4.91,6.13,6.6,6.51,6.32,5.94,5.66,5.47,5,4.53,4.15,4.72,5.75,6.23,6.42,6.7,6.79,6.89,7.08,7.17,6.98,7.26,7.36,7.45,7.74,7.55,7.64,7.83,7.92,8.87,9.15,9.34,9.53,9.72,9.91,10,9.81,9.62,9.43,9.25,9.06,8.49,8.4,8.58,8.77,8.3,8.11,8.02,8.21,8.68,8.96
22,"Indiana","State","IN",15,1.7,1.6,1.42,1.32,1.13,1.04,0.85,0.28,0.19,0.09,0.38,0.57,0.66,0.47,0.75,0.94,1.23,1.51,1.79,1.98,2.17,2.55,2.36,2.26,1.89,2.08,2.45,2.64,2.74,2.83,2.92,3.02,3.3,3.11,3.21,3.68,4.06,4.15,3.96,3.77,3.58,3.4,3.49,3.87,4.25,4.34,4.53,4.43,4.62,4.72,4.81,5.19,5.09,5,4.91,5.28,5.38,5.94,5.66,5.47,5.57,5.85,6.23,6.13,6.04,5.75,6.32,6.42,6.51,6.6,6.7,6.79,6.89,6.98,7.08,7.17,7.26,7.36,7.45,7.64,7.55,7.74,7.83,7.92,8.02,8.11,8.21,8.3,8.96,9.81,10,9.91,9.72,9.43,8.68,8.49,8.4,8.58,8.77,9.25,9.06,8.87,9.15,9.34,9.53,9.62
8,"Arizona","State","AZ",16,0.09,0.19,0.28,0.38,0.47,0.57,0.66,0.75,0.85,0.94,1.42,1.6,1.89,2.17,2.55,2.83,4.15,4.62,5.19,5,5.28,5.75,6.42,6.98,7.17,6.79,6.04,5.66,5.94,6.32,6.7,7.26,7.55,7.45,6.89,6.13,5.09,4.53,3.68,2.74,2.45,2.26,1.98,1.79,1.51,1.23,1.04,1.13,1.32,1.7,2.08,2.36,2.64,2.92,3.4,4.06,4.43,4.81,5.38,5.57,5.47,4.72,4.25,3.49,3.02,3.11,3.77,3.87,3.58,3.3,3.21,3.96,4.34,4.91,5.85,6.23,6.51,6.6,7.08,7.36,7.64,7.74,7.83,7.92,8.02,8.11,8.21,8.49,9.15,9.62,9.72,10,9.91,9.81,9.53,9.34,9.06,8.87,8.96,8.68,8.58,8.3,8.4,8.77,9.25,9.43
53,"Tennessee","State","TN",17,1.79,1.6,1.32,1.13,1.04,0.94,0.75,0.57,0.19,0.09,0.28,0.38,0.47,0.66,0.85,1.23,1.42,1.51,1.7,1.89,2.17,2.36,2.08,1.98,2.26,2.45,2.55,2.64,2.74,2.83,2.92,3.02,3.21,3.11,3.3,3.4,3.49,3.58,3.87,4.06,4.15,3.96,3.68,3.77,4.25,4.72,4.81,4.43,4.34,4.53,5,5.28,5.47,5.38,5.09,4.62,4.91,5.19,5.57,5.94,6.13,6.32,6.04,5.85,5.66,5.75,6.23,6.42,6.51,6.6,6.7,6.79,6.89,6.98,7.08,7.17,7.26,7.36,7.45,7.55,7.64,7.74,8.4,8.87,9.15,9.34,9.43,9.62,9.72,9.81,10,9.91,9.53,9.25,9.06,8.21,7.92,7.83,8.02,8.11,8.3,8.68,8.96,8.58,8.49,8.77
32,"Missouri","State","MO",18,0.47,0.57,0.66,0.85,0.75,0.38,0.19,0.09,0.28,0.94,1.23,1.32,1.04,1.13,1.42,1.51,1.6,1.7,1.79,1.89,2.08,1.98,2.17,2.26,2.36,2.45,2.55,2.64,2.74,3.4,3.58,3.3,2.92,3.11,3.49,4.15,4.62,4.91,4.81,4.53,3.87,3.21,2.83,3.02,3.68,3.77,3.96,4.06,4.25,4.34,4.43,4.72,5,5.09,5.19,5.28,5.47,5.85,5.57,5.94,6.04,6.32,6.13,5.66,5.38,5.75,6.23,6.42,6.51,6.6,6.7,6.79,6.89,6.98,7.08,7.17,7.26,7.55,7.74,7.64,7.36,7.45,7.83,7.92,8.3,8.77,9.06,9.34,9.72,9.91,10,9.81,9.53,9.43,9.15,8.96,8.68,8.49,8.4,8.58,8.11,8.02,8.21,8.87,9.25,9.62
27,"Maryland","State","MD",19,1.32,1.6,1.79,1.7,1.51,1.23,0.94,0.28,0.09,0.19,0.57,0.85,0.66,0.47,0.38,0.75,1.04,1.13,1.42,1.89,2.45,2.55,2.26,2.08,1.98,2.17,2.36,2.64,2.92,4.25,5.28,6.32,6.7,6.51,6.79,6.89,7.17,7.55,7.64,7.36,6.98,6.42,5.75,5.47,5.57,5.09,5,4.81,4.43,3.87,3.77,3.96,4.34,4.15,3.21,3.02,3.58,4.53,4.72,4.62,4.06,3.68,3.3,3.4,3.11,2.74,2.83,3.49,4.91,5.19,5.85,6.13,6.04,5.94,5.38,5.66,6.23,6.6,7.08,7.26,7.45,7.74,7.83,7.92,8.02,8.11,8.21,8.68,8.96,9.62,10,9.81,8.87,8.4,8.3,8.49,8.58,8.77,9.15,9.34,9.25,9.06,9.43,9.53,9.91,9.72
60,"Wisconsin","State","WI",20,0.09,0.19,0.57,0.94,1.04,0.85,1.13,0.66,0.75,1.23,1.51,1.6,1.42,0.47,0.28,0.38,1.32,1.7,1.79,1.89,1.98,2.08,2.17,2.26,2.36,2.45,2.55,2.64,2.74,2.83,2.92,3.02,3.11,3.21,3.3,3.58,4.15,4.43,4.62,4.91,4.81,4.34,3.68,3.4,3.49,3.77,3.96,3.87,4.06,4.25,4.53,4.72,5,5.09,5.19,5.28,5.38,5.47,5.57,5.66,5.75,5.85,5.94,6.04,6.13,6.23,6.32,6.42,6.51,6.6,6.7,6.79,6.89,6.98,7.08,7.17,7.26,7.36,7.45,7.55,7.64,7.74,7.83,7.92,8.02,8.11,8.21,8.3,8.4,8.49,8.68,9.25,8.58,8.77,9.06,9.34,9.62,9.81,9.43,9.72,9.53,8.96,8.87,9.15,9.91,10
31,"Minnesota","State","MN",21,0.09,0.19,0.28,0.38,0.47,0.57,0.66,0.75,0.85,0.94,1.04,1.13,1.23,1.32,1.42,1.51,1.6,1.7,1.79,1.89,1.98,2.08,2.17,2.26,2.36,2.45,2.55,2.64,2.74,2.83,2.92,3.02,3.11,3.21,3.3,3.4,3.49,3.58,3.68,3.77,3.87,3.96,4.06,4.15,4.25,4.34,4.43,4.53,4.62,4.72,4.81,4.91,5,5.09,5.19,5.28,5.38,5.47,5.57,5.66,5.75,5.85,5.94,6.04,6.13,6.23,6.32,6.42,6.51,6.6,6.7,6.79,6.89,6.98,7.08,7.17,7.26,7.36,7.45,7.55,7.64,7.74,7.83,7.92,8.02,8.11,8.21,8.3,8.68,9.72,9.91,10,9.53,9.62,9.34,9.25,9.15,9.06,8.87,8.77,8.58,8.4,8.49,8.96,9.43,9.81
10,"Colorado","State","CO",22,0.38,0.57,0.75,0.94,0.85,0.47,0.19,0.09,0.28,0.66,1.04,1.13,1.23,1.32,1.42,1.51,1.6,1.7,1.79,1.89,1.98,2.08,2.17,2.26,2.36,2.45,2.55,2.64,2.74,2.83,2.92,3.02,3.11,3.21,3.3,3.4,3.49,3.58,3.77,3.96,3.68,3.87,4.06,4.15,4.25,4.62,4.72,5.28,5.57,5.94,7.08,7.64,8.58,8.87,8.96,8.49,7.55,6.79,6.23,6.13,6.98,6.89,6.42,5.85,5.47,5.09,5.38,5.66,6.32,7.26,7.83,8.02,7.36,6.7,6.04,6.51,7.17,7.45,7.92,8.11,8.21,8.3,8.4,8.77,9.15,9.43,9.62,9.72,10,9.91,9.81,9.53,9.34,9.25,9.06,8.68,7.74,6.6,5.75,5.19,4.43,4.34,4.53,4.81,4.91,5
4,"Alabama","State","AL",23,4.34,2.36,1.23,1.04,0.94,0.66,0.75,0.85,0.57,0.38,0.28,0.09,0.19,0.47,1.13,2.17,3.96,3.68,2.26,1.6,1.42,1.79,1.98,2.08,1.89,2.45,2.64,2.92,3.11,3.3,3.58,3.21,3.02,2.74,3.4,4.06,5,4.72,4.43,4.53,3.77,2.55,1.51,1.32,1.7,2.83,3.49,3.87,5.09,5.47,6.13,6.32,6.23,6.04,5.94,5.75,5.66,5.57,5.38,4.62,4.15,4.25,4.91,4.81,5.19,5.28,5.85,6.42,6.51,6.6,6.7,6.79,6.89,7.17,7.36,7.26,6.98,7.08,7.45,7.55,7.64,7.74,7.83,7.92,8.02,8.11,8.21,8.3,8.4,8.49,8.58,8.68,9.06,8.77,8.87,9.15,9.43,9.72,9.62,9.34,8.96,9.25,9.53,9.81,9.91,10
51,"South Carolina","State","SC",24,2.08,1.6,1.32,1.13,0.94,0.75,0.38,0.09,0.47,0.66,0.57,0.28,0.19,0.85,1.04,1.23,1.42,1.51,1.89,1.7,1.79,1.98,2.17,2.26,2.36,2.45,2.55,2.64,2.74,3.02,3.58,4.06,3.96,3.68,3.3,3.4,3.87,4.34,4.43,4.53,4.25,3.21,2.83,2.92,3.11,3.49,3.77,4.15,4.62,4.72,4.81,5.09,4.91,5,5.19,5.47,5.66,5.94,6.23,6.32,6.04,5.85,5.57,5.28,5.38,5.75,6.13,6.42,6.51,6.6,6.7,6.79,6.89,6.98,7.08,7.17,7.26,7.36,7.55,7.74,7.45,7.64,7.83,7.92,8.02,8.68,9.15,9.34,9.43,9.62,9.72,9.91,10,9.81,9.53,9.25,8.96,8.49,8.3,8.21,8.11,8.4,8.58,8.77,8.87,9.06
25,"Louisiana","State","LA",25,6.51,3.77,2.92,2.45,2.26,1.89,1.13,0.28,0.09,0.19,0.38,0.47,0.94,1.42,2.08,2.64,2.74,2.55,2.36,3.11,3.3,3.02,2.17,1.32,1.04,0.75,0.57,0.66,0.85,1.23,1.51,1.79,1.6,1.7,1.98,2.83,3.58,3.96,4.15,3.87,3.68,3.4,3.21,3.49,4.06,4.81,4.62,4.91,5.38,5.47,5.57,5.66,6.13,6.32,6.23,5.75,5.19,5.09,6.04,6.98,8.11,9.15,9.06,7.64,6.89,6.7,7.08,6.79,7.26,7.45,8.21,8.58,8.4,8.68,8.96,9.34,9.53,9.81,10,9.91,9.72,9.62,9.43,9.25,8.49,8.02,7.92,7.83,7.55,7.74,8.3,8.87,8.77,7.36,7.17,6.6,6.42,5.94,5.85,5.28,4.53,4.25,4.34,4.43,4.72,5
24,"Kentucky","State","KY",26,1.32,1.51,1.23,1.13,1.79,2.26,2.08,1.6,1.42,1.98,2.45,1.89,0.75,0.09,0.19,0.38,0.66,0.47,0.28,0.57,0.94,0.85,1.04,1.7,2.17,2.92,3.11,3.4,3.77,4.15,3.68,3.02,2.55,2.36,2.74,3.21,3.49,4.06,4.62,5.09,4.81,3.58,2.83,2.64,3.3,3.96,4.53,4.25,4.72,5.19,5,4.34,3.87,4.43,4.91,5.28,5.38,5.75,5.94,6.13,6.23,6.04,5.85,5.57,5.47,5.66,6.32,6.42,6.51,6.6,6.7,6.89,6.79,6.98,7.08,7.17,7.26,7.36,7.45,7.55,7.74,7.64,7.83,7.92,8.49,8.68,9.25,9.34,9.53,9.81,10,9.91,9.72,9.62,9.43,9.15,8.77,8.87,9.06,8.96,8.58,8.3,8.11,8.21,8.4,8.02
46,"Oregon","State","OR",27,0.57,0.75,0.85,0.66,0.47,0.28,0.09,0.19,0.38,0.94,1.04,1.13,1.23,1.32,1.42,1.51,1.6,1.89,1.79,1.7,1.98,2.08,2.17,2.26,2.36,2.45,2.55,2.64,2.74,2.83,2.92,3.02,3.3,3.68,4.15,4.62,4.91,5,4.72,4.53,3.77,3.11,3.21,3.96,4.43,4.34,4.06,3.58,3.4,3.49,3.87,4.25,4.81,5.09,5.47,6.23,6.42,6.7,7.17,7.64,8.21,8.58,8.87,8.68,8.77,8.3,8.02,7.55,7.36,7.08,6.89,6.32,5.85,5.28,5.38,5.75,5.94,6.13,6.79,7.26,7.83,8.11,8.49,8.96,9.25,9.43,9.53,9.72,9.81,10,9.91,9.62,9.34,9.15,9.06,8.4,7.92,7.74,7.45,6.98,6.6,5.57,5.19,5.66,6.04,6.51
45,"Oklahoma","State","OK",28,1.79,1.7,1.6,1.51,1.32,1.04,0.47,0.09,0.19,0.28,0.38,0.75,0.57,0.66,0.85,0.94,1.13,1.23,1.42,1.98,2.36,2.55,2.17,2.08,1.89,2.26,2.45,2.64,2.74,2.83,2.92,3.11,3.02,3.21,3.3,3.49,4.06,4.34,3.87,3.77,3.96,4.15,4.53,5.19,5.94,6.04,6.23,5.85,6.89,7.36,7.83,7.64,7.74,8.02,8.21,8.11,7.45,7.08,6.6,6.79,6.7,6.51,6.13,5.09,4.25,3.4,3.58,3.68,4.43,4.62,4.72,5.28,5,4.81,4.91,5.57,6.42,7.17,7.26,5.75,5.47,5.38,5.66,6.32,6.98,7.55,7.92,8.4,8.3,8.49,8.58,8.68,8.77,8.87,8.96,9.15,9.06,9.25,9.34,9.43,9.53,9.62,9.72,9.81,9.91,10
11,"Connecticut","State","CT",29,3.11,4.34,5.47,5.85,5,4.15,2.64,2.26,1.7,1.89,1.79,1.51,0.75,0.38,0.19,0.09,0.28,0.47,0.66,0.85,1.13,0.94,0.57,1.04,1.23,1.42,1.32,1.6,2.08,2.92,4.81,6.6,6.7,5.75,6.32,6.98,7.08,6.51,6.42,6.79,6.89,5.38,3.49,3.02,3.21,3.77,3.87,3.68,4.25,4.91,6.23,5.94,5.09,3.96,2.83,2.74,3.58,5.19,6.04,6.13,5.57,4.53,3.4,2.55,2.36,1.98,2.17,2.45,3.3,4.06,4.43,4.62,4.72,5.28,5.66,7.17,7.26,7.36,7.74,7.64,7.45,7.55,7.83,7.92,8.02,8.58,9.43,8.77,8.49,9.62,9.81,10,9.91,9.72,9.25,8.4,8.21,9.06,9.34,9.53,8.96,8.87,8.11,8.3,8.68,9.15
